Year,"ANIMAL TOTALS, INCL PRODUCTS - INDEX FOR PRICE RECEIVED, 2011  -  <b>VALUE</b>",,,,,,,,,,,,
2024,149.7,,,,,,,,,,,,
2023,133.5,,,,,,,,,,,,
2022,138.9,,,,,,,,,,,,
2021,105.1,,,,,,,,,,,,
2020,88.7,,,,,,,,,,,,
2019,95.6,,,,,,,,,,,,
2018,94.4,,,,,,,,,,,,
2017,100.1,,,,,,,,,,,,
2016,94.4,,,,,,,,,,,,
2015,113.4,,,,,,,,,,,,
2014,128.7,,,,,,,,,,,,
2013,108.5,,,,,,,,,,,,
2012,102.5,,,,,,,,,,,,
2011,100,,,,,,,,,,,,
2010,85.7,,,,,,,,,,,,
2009,73.8,,,,,,,,,,,,
2008,86.1,,,,,,,,,,,,
2007,85.7,,,,,,,,,,,,
2006,73.2,,,,,,,,,,,,
2005,78.4,,,,,,,,,,,,
2004,80.3,,,,,,,,,,,,
2003,67.9,,,,,,,,,,,,
2002,59.5,,,,,,,,,,,,
2001,70,,,,,,,,,,,,
2000,64,,,,,,,,,,,,
1999,62.8,,,,,,,,,,,,
1998,63.8,,,,,,,,,,,,
1997,64.9,,,,,,,,,,,,
1996,65.5,,,,,,,,,,,,
1995,60.7,,,,,,,,,,,,
1994,62.6,,,,,,,,,,,,
1993,66.1,,,,,,,,,,,,
1992,63.9,,,,,,,,,,,,
1991,65.2,,,,,,,,,,,,
1990,69.2,,,,,,,,,,,,
